,subject,frame,contact_type
0,B39657,00250.jpg,0
1,B39657,00375.jpg,2
2,B39657,00500.jpg,2
3,B39657,00625.jpg,1
4,B39657,00750.jpg,2
5,B39657,00875.jpg,2
6,B39657,01000.jpg,1
7,B39657,01125.jpg,1
8,B39657,01250.jpg,1
9,B39657,01375.jpg,0
10,B39657,01500.jpg,1
11,B39657,01625.jpg,0
12,B39657,01750.jpg,0
13,B39657,01875.jpg,0
14,B39657,02000.jpg,0
15,B39657,02125.jpg,0
16,B39657,02250.jpg,0
17,B39657,02375.jpg,0
18,B39657,02500.jpg,0
19,B39657,02625.jpg,0
20,B39657,02750.jpg,0
21,B39657,02875.jpg,0
22,B39657,03000.jpg,0
23,B39657,03125.jpg,0
24,B39657,03250.jpg,0
25,B39657,03375.jpg,0
26,B39657,03500.jpg,0
27,B39657,03625.jpg,0
28,B39657,03750.jpg,0
29,B39657,03875.jpg,0
30,B39657,04000.jpg,0
31,B39657,04125.jpg,0
32,B39657,04250.jpg,0
33,B39657,04375.jpg,0
34,B39657,04500.jpg,0
35,B39657,04625.jpg,0
36,B39657,04750.jpg,0
37,B39657,04875.jpg,0
38,B39657,05000.jpg,0
39,B39657,05125.jpg,0
40,B39657,05250.jpg,0
41,B39657,05375.jpg,0
42,B39657,05500.jpg,0
43,B39657,05625.jpg,0
44,B39657,05750.jpg,0
45,B39657,05875.jpg,0
46,B39657,06000.jpg,0
47,B39657,06125.jpg,0
48,B39657,06250.jpg,0
49,B39657,06375.jpg,0
50,B39657,06500.jpg,1
51,B39657,06625.jpg,0
52,B39657,06750.jpg,0
53,B39657,06875.jpg,1
54,B39657,07000.jpg,0
55,B39657,07125.jpg,0
56,B39657,07250.jpg,0
57,B39657,07375.jpg,0
58,B39657,07500.jpg,0
59,B39657,07625.jpg,0
60,B39657,07750.jpg,0
61,B39657,07875.jpg,0
62,B39657,08000.jpg,0
63,B39657,08125.jpg,2
64,B39657,08250.jpg,0
65,B39657,08375.jpg,0
66,B39657,08500.jpg,0
67,B39657,08625.jpg,0
68,B39657,08750.jpg,0
69,B39657,08875.jpg,0
70,B39657,09000.jpg,0
71,B39657,09125.jpg,0
72,B39657,09250.jpg,0
73,B39657,09375.jpg,0
74,B39657,09500.jpg,0
75,B39657,09625.jpg,0
76,B39657,09750.jpg,0
77,B39657,09875.jpg,0
78,B39657,10000.jpg,0
79,B39657,10125.jpg,0
80,B39657,10250.jpg,0
81,B39657,10375.jpg,0
82,B39657,10500.jpg,0
83,B39657,10625.jpg,0
84,B39657,10750.jpg,0
85,B39657,10875.jpg,0
86,B39657,11000.jpg,0
87,B39657,11125.jpg,0
88,B39657,11250.jpg,0
89,B39657,11375.jpg,0
90,B39657,11500.jpg,0
91,B39657,11625.jpg,0
92,B39657,11750.jpg,0
93,B39657,11875.jpg,0
94,B39657,12000.jpg,0
95,B39657,12125.jpg,0
96,B39657,12250.jpg,0
97,B39657,12375.jpg,0
98,B39657,12500.jpg,0
99,B39657,12625.jpg,0
100,B39657,12750.jpg,0
101,B39657,12875.jpg,0
102,B39657,13000.jpg,0
103,B39657,13125.jpg,0
104,B39657,13250.jpg,1
105,B39657,13375.jpg,0
106,B39657,13500.jpg,1
107,B39657,13625.jpg,1
108,B39657,13750.jpg,1
109,B39657,13875.jpg,0
110,B39657,14000.jpg,0
111,B39657,14125.jpg,0
112,B39657,14250.jpg,0
113,B39657,14375.jpg,0
114,B39657,14500.jpg,0
115,B39657,14625.jpg,1
116,B39657,14750.jpg,1
117,B39657,14875.jpg,2
118,B39657,15000.jpg,1
119,B39657,15125.jpg,0
120,B39657,15250.jpg,0
121,B39657,15375.jpg,0
122,B39657,15500.jpg,0
123,B39657,15625.jpg,0
124,B39657,15750.jpg,0
125,B39657,15875.jpg,0
126,B39657,16000.jpg,0
127,B39657,16125.jpg,0
128,B39657,16250.jpg,0
129,B39657,16375.jpg,0
130,B39657,16500.jpg,0
131,B39657,16625.jpg,0
132,B39657,16750.jpg,0
133,B39657,16875.jpg,0
134,B39657,17000.jpg,0
135,B39657,17125.jpg,0
136,B39657,17250.jpg,0
137,B39657,17375.jpg,1
138,B39657,17500.jpg,0
139,B39657,17625.jpg,0
140,B39657,17750.jpg,0
141,B39657,17875.jpg,0
142,B39657,18000.jpg,1
143,B39657,18125.jpg,1
144,B51848,00250.jpg,0
145,B51848,00375.jpg,0
146,B51848,00500.jpg,1
147,B51848,00625.jpg,1
148,B51848,00750.jpg,1
149,B51848,00875.jpg,2
150,B51848,01000.jpg,2
151,B51848,01125.jpg,1
152,B51848,01250.jpg,1
153,B51848,01375.jpg,2
154,B51848,01500.jpg,0
155,B51848,01625.jpg,2
